GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US06037211921,06037211921,"Census Tract 2119.21, Los Angeles County, California",2178,215,638,333,88,87,18,22,819,184,0,12,578,271,37,36,0,12,37,36
1400000US06037211922,06037211922,"Census Tract 2119.22, Los Angeles County, California",3606,336,952,380,230,114,0,12,952,280,0,12,1359,347,113,104,67,72,46,54
1400000US06037212101,06037212101,"Census Tract 2121.01, Los Angeles County, California",2328,339,705,320,163,110,0,12,1252,217,0,12,170,138,38,47,0,12,38,47
1400000US06037212102,06037212102,"Census Tract 2121.02, Los Angeles County, California",2267,262,418,130,75,49,0,12,937,150,0,12,809,344,28,27,17,20,11,20
1400000US06037212202,06037212202,"Census Tract 2122.02, Los Angeles County, California",3684,370,441,255,45,56,0,12,535,173,0,12,2663,385,0,12,0,12,0,12
1400000US06037212203,06037212203,"Census Tract 2122.03, Los Angeles County, California",2785,340,415,229,22,43,21,26,451,160,0,12,1849,375,27,43,0,12,27,43
1400000US06037212204,06037212204,"Census Tract 2122.04, Los Angeles County, California",3643,356,789,266,97,90,28,32,552,236,0,12,2152,473,25,35,7,12,18,29
1400000US06037212303,06037212303,"Census Tract 2123.03, Los Angeles County, California",3314,471,775,240,200,98,0,12,395,158,0,12,1912,506,32,46,30,46,2,4
1400000US06037212304,06037212304,"Census Tract 2123.04, Los Angeles County, California",1894,281,559,177,49,34,22,34,226,82,0,12,997,292,41,38,25,32,16,20
1400000US06037212305,06037212305,"Census Tract 2123.05, Los Angeles County, California",3008,312,596,213,112,72,20,22,415,130,0,12,1857,365,8,14,8,14,0,12
1400000US06037212306,06037212306,"Census Tract 2123.06, Los Angeles County, California",3263,427,492,212,17,26,0,12,1764,301,0,12,972,423,18,24,18,24,0,12
1400000US06037212410,06037212410,"Census Tract 2124.10, Los Angeles County, California",3823,353,796,221,176,123,69,93,1501,205,0,12,1147,372,134,83,50,57,84,64
1400000US06037212420,06037212420,"Census Tract 2124.20, Los Angeles County, California",3335,381,485,217,119,73,124,191,983,190,24,31,1589,368,11,25,0,12,11,25
1400000US06037212501,06037212501,"Census Tract 2125.01, Los Angeles County, California",2083,268,901,249,122,69,18,28,451,164,0,12,525,180,66,94,0,12,66,94
1400000US06037212502,06037212502,"Census Tract 2125.02, Los Angeles County, California",2730,334,591,193,164,132,0,12,1147,180,0,12,774,329,54,53,0,12,54,53
1400000US06037212610,06037212610,"Census Tract 2126.10, Los Angeles County, California",3904,404,592,149,179,88,8,13,2281,373,0,12,751,232,93,95,18,19,75,95
1400000US06037212620,06037212620,"Census Tract 2126.20, Los Angeles County, California",4686,334,721,282,197,125,14,20,2182,383,8,12,1443,365,121,59,28,33,93,50
1400000US06037212701,06037212701,"Census Tract 2127.01, Los Angeles County, California",2491,247,741,222,71,53,23,38,1231,196,0,12,381,194,44,42,14,23,30,35
1400000US06037212702,06037212702,"Census Tract 2127.02, Los Angeles County, California",3783,421,1039,214,182,88,14,24,2138,424,0,12,376,205,34,43,0,12,34,43
1400000US06037212800,06037212800,"Census Tract 2128, Los Angeles County, California",3881,509,1647,486,421,157,74,89,962,287,0,12,490,278,287,159,72,60,215,150
1400000US06037212900,06037212900,"Census Tract 2129, Los Angeles County, California",4701,540,1531,522,509,247,25,40,1054,344,0,12,1511,444,71,45,21,24,50,38
1400000US06037213100,06037213100,"Census Tract 2131, Los Angeles County, California",3068,387,745,337,252,120,6,10,1435,233,0,12,621,210,9,15,0,12,9,15
1400000US06037213201,06037213201,"Census Tract 2132.01, Los Angeles County, California",4576,334,386,166,82,67,0,12,2032,252,107,159,1879,371,90,129,10,15,80,127
1400000US06037213202,06037213202,"Census Tract 2132.02, Los Angeles County, California",3946,367,568,299,134,108,10,17,1182,224,0,12,1954,408,98,90,52,78,46,41
1400000US06037213310,06037213310,"Census Tract 2133.10, Los Angeles County, California",3915,367,302,178,71,74,0,12,886,200,0,12,2562,440,94,92,52,83,42,48
1400000US06037213320,06037213320,"Census Tract 2133.20, Los Angeles County, California",2233,227,387,145,145,109,12,17,771,150,5,8,898,297,15,21,12,19,3,7
1400000US06037213401,06037213401,"Census Tract 2134.01, Los Angeles County, California",5806,439,464,237,54,50,6,12,1069,183,0,17,4173,501,40,35,0,17,40,35
1400000US06037213402,06037213402,"Census Tract 2134.02, Los Angeles County, California",4820,436,528,167,235,143,20,31,915,245,0,12,2940,463,182,131,154,128,28,34
1400000US06037214000,06037214000,"Census Tract 2140, Los Angeles County, California",3783,333,3434,336,11,14,2,4,181,95,20,30,24,41,111,69,30,28,81,65
1400000US06037214100,06037214100,"Census Tract 2141, Los Angeles County, California",4098,319,3672,361,40,31,0,12,220,170,0,12,107,85,59,38,0,12,59,38
1400000US06037214400,06037214400,"Census Tract 2144, Los Angeles County, California",3023,266,2366,289,59,43,19,20,108,80,0,12,173,129,298,175,73,65,225,148
1400000US06037214501,06037214501,"Census Tract 2145.01, Los Angeles County, California",2905,299,1792,332,57,48,26,43,767,251,0,12,150,197,113,82,13,19,100,78
1400000US06037214502,06037214502,"Census Tract 2145.02, Los Angeles County, California",5083,547,2902,510,202,121,0,17,1523,470,81,121,277,169,98,72,33,40,65,61
1400000US06037214503,06037214503,"Census Tract 2145.03, Los Angeles County, California",3369,363,1498,321,58,49,0,12,1647,415,0,12,65,60,101,102,1,10,100,101
1400000US06037214600,06037214600,"Census Tract 2146, Los Angeles County, California",2706,312,2248,326,48,44,3,7,236,174,8,14,95,69,68,98,68,98,0,12
1400000US06037214700,06037214700,"Census Tract 2147, Los Angeles County, California",2538,199,2073,223,32,50,7,11,297,157,0,12,44,36,85,90,0,12,85,90
1400000US06037214800,06037214800,"Census Tract 2148, Los Angeles County, California",3047,276,2514,300,121,86,0,12,178,111,0,12,142,99,92,69,22,41,70,51
1400000US06037214901,06037214901,"Census Tract 2149.01, Los Angeles County, California",2692,247,1923,347,78,87,0,12,548,226,0,12,2,4,141,83,43,69,98,81
1400000US06037214902,06037214902,"Census Tract 2149.02, Los Angeles County, California",2844,330,2213,360,49,66,0,12,374,182,0,12,57,92,151,106,17,29,134,93
1400000US06037215101,06037215101,"Census Tract 2151.01, Los Angeles County, California",2409,221,1529,224,77,81,0,12,418,167,0,12,256,166,129,64,28,44,101,48
1400000US06037215102,06037215102,"Census Tract 2151.02, Los Angeles County, California",3240,274,2086,309,200,167,0,12,744,298,0,12,172,138,38,58,0,12,38,58
1400000US06037216100,06037216100,"Census Tract 2161, Los Angeles County, California",2561,307,1214,119,616,177,0,12,301,173,0,12,176,146,254,186,21,33,233,198
1400000US06037216200,06037216200,"Census Tract 2162, Los Angeles County, California",4718,332,2021,260,1133,197,29,48,911,197,37,51,303,228,284,146,21,34,263,144
