"County Name","Census Tract","Population","Body Mass Index","IBL Ranking"
"Grant","53025011100","4387","27.29","9"
"Grant","53025011200","3678","26.95","8"
"Grant","53025011300","2509","28.15","10"
"Grant","53025011401","1224","26.85","7"
"Grant","53025011402","7016","27.31","9"
"Grays Harbor","53027000200","6422","27.81","10"
"Grays Harbor","53027000300","2614","27.88","10"
"Grays Harbor","53027000400","5124","27.3","9"
"Grays Harbor","53027000500","4653","27.53","10"
"Grays Harbor","53027000600","2655","27.47","10"
"Grays Harbor","53027000700","3144","27.8","10"
"Grays Harbor","53027000800","3162","27.26","9"
"Grays Harbor","53027000900","4084","28.03","10"
"Grays Harbor","53027001000","2419","27.61","10"
"Grays Harbor","53027001100","3126","27.21","9"
"Grays Harbor","53027001200","3085","28.14","10"
"Grays Harbor","53027001300","2595","28.36","10"
"Grays Harbor","53027001400","1520","28.2","10"
"Grays Harbor","53027001500","2784","27.87","10"
"Grays Harbor","53027001600","5562","27.46","9"
"Grays Harbor","53027940000","776","29.4","10"
"Island","53029970100","1918","27.07","8"
"Island","53029970200","1542","26.13","4"
"Island","53029970300","3693","26.77","7"
"Island","53029970400","4105","26.93","7"
"Island","53029970500","3924","26.44","6"
"Island","53029970601","2417","27.2","9"
"Island","53029970602","2390","26.97","8"
"Island","53029970700","1383","27.15","8"
"Island","53029970800","1918","27.2","9"
"Island","53029970900","2789","27.01","8"
"Island","53029971000","4008","26.4","5"
"Island","53029971100","2730","26.43","6"
"Island","53029971300","3595","25.83","3"
"Island","53029971400","3053","25.92","4"
"Island","53029971500","2521","25.81","3"
"Island","53029971600","2974","26.68","6"
"Island","53029971700","3137","26.32","5"
"Island","53029971800","1794","25.41","2"
"Island","53029971900","3266","25.35","2"
"Island","53029972000","3180","25.12","2"
"Island","53029972100","2787","25.46","3"
"Jefferson","53031950202","1380","25.83","3"
"Jefferson","53031950300","5003","25.73","3"
"Jefferson","53031950400","3226","26.2","5"
"Jefferson","53031950500","5128","25.46","3"
"Jefferson","53031950601","4971","24.84","1"
"Jefferson","53031950602","2383","25.24","2"
"Jefferson","53031950702","1938","27.2","9"
"King","53033000100","5193","25.62","3"
"King","53033000200","5900","25.5","3"
"King","53033000300","1967","25.58","3"
"King","53033000401","4808","25.84","3"
"King","53033000402","3466","25.34","2"
"King","53033000500","2256","24.34","1"
"King","53033000600","5680","25.34","2"
"King","53033000700","3632","25.41","2"
"King","53033000800","2012","24.95","2"
"King","53033000900","1577","24.16","1"
"King","53033001000","1325","24.88","1"
"King","53033001100","2125","25.01","2"
"King","53033001200","4852","25.42","2"
"King","53033001300","3889","25.4","2"
"King","53033001400","4093","25.41","2"
"King","53033001500","1915","24.46","1"
"King","53033001600","3043","24.75","1"
"King","53033001701","3404","25.25","2"
"King","53033001702","3343","25.21","2"
"King","53033001800","4456","25.1","2"
"King","53033001900","3530","24.98","2"
"King","53033002000","2763","24.67","1"
"King","53033002100","2981","24.6","1"
"King","53033002200","4012","24.14","1"
"King","53033002400","2147","24.45","1"
"King","53033002500","2315","24.25","1"
"King","53033002600","3801","24.33","1"
"King","53033002700","4229","24.36","1"
"King","53033002800","3688","24.57","1"
"King","53033002900","3258","24.72","1"
"King","53033003000","4186","24.81","1"
"King","53033003100","4803","24.67","1"
"King","53033003200","6459","24.73","1"
"King","53033003300","5270","24.93","2"
"King","53033003400","2641","24.47","1"
"King","53033003500","3104","24.1","1"
"King","53033003600","5201","24.37","1"
"King","53033003800","1666","24.33","1"
"King","53033003900","2261","24.02","1"
"King","53033004000","2188","24.14","1"
"King","53033004100","5814","23.64","1"
"King","53033004200","6220","24.01","1"
"King","53033004301","2767","23.95","1"
"King","53033004302","2501","24.52","1"
"King","53033004400","5135","24.27","1"
"King","53033004500","2592","24.49","1"
"King","53033004600","2699","24.04","1"
"King","53033004700","6701","25.02","2"
"King","53033004800","4147","24.37","1"
"King","53033004900","5968","24.52","1"
"King","53033005000","2969","24.44","1"
"King","53033005100","2900","24.26","1"
"King","53033005200","5643","24.29","1"
"King","53033005301","5176","24.29","1"
"King","53033005302","2062","24.04","1"
"King","53033005400","4147","24.36","1"
"King","53033005600","4585","23.99","1"
"King","53033005700","4901","24.75","1"
"King","53033005801","4462","25.05","2"
"King","53033005802","4523","24.86","1"
"King","53033005900","5688","24.45","1"
"King","53033006000","4361","24.35","1"
"King","53033006100","4933","24.08","1"
"King","53033006200","2994","23.87","1"
"King","53033006300","3999","23.61","1"
"King","53033006400","2400","23.93","1"
"King","53033006500","3572","24.02","1"
"King","53033006600","2952","24.34","1"
"King","53033006700","5957","24.53","1"
"King","53033006800","2266","24.08","1"
"King","53033006900","3373","24.12","1"
"King","53033007000","6601","24.48","1"
"King","53033007100","2885","24.98","2"
"King","53033007200","5074","25.06","2"
"King","53033007300","4493","25.3","2"
"King","53033007401","4262","24.7","1"
"King","53033007402","5053","25.2","2"
"King","53033007500","6580","24.61","1"
"King","53033007600","3399","24.7","1"
"King","53033007700","3787","25.05","2"
"King","53033007800","4231","24.11","1"
"King","53033007900","4818","25","2"
"King","53033008001","5131","24.9","2"
"King","53033008002","2836","25.08","2"
"King","53033008100","4047","25.44","2"
"King","53033008200","3280","24.93","2"
"King","53033008300","2550","24.98","2"
"King","53033008400","3709","24.76","1"
"King","53033008500","3639","25.89","4"
"King","53033008600","3204","25.1","2"
"King","53033008700","3470","25.55","3"
"King","53033008800","2993","25.54","3"
"King","53033008900","3446","25.27","2"
"King","53033009000","2438","25.26","2"
"King","53033009100","1964","24.28","1"
"King","53033009200","2287","25.68","3"
"King","53033009300","2071","25.31","2"
"King","53033009400","4480","24.86","1"
"King","53033009500","4426","24.73","1"
"King","53033009600","4357","24.6","1"
"King","53033009701","4728","24.65","1"
"King","53033009702","3912","24.85","1"
"King","53033009800","5002","24.94","2"
"King","53033009900","3973","25.37","2"
"King","53033010001","3104","25.02","2"
"King","53033010002","3486","24.72","1"
"King","53033010100","4432","25.31","2"
"King","53033010200","3505","25.03","2"
"King","53033010300","4546","25.37","2"
"King","53033010401","3744","24.31","1"
"King","53033010402","3772","24.45","1"
"King","53033010500","4899","25.25","2"
"King","53033010600","6044","25.22","2"
"King","53033010701","2572","26.12","4"
"King","53033010702","2494","26.24","5"
"King","53033010800","3532","25.56","3"
"King","53033010900","982","25.74","3"
"King","53033011001","3055","24.74","1"
"King","53033011002","2833","24.31","1"
"King","53033011101","3589","25.21","2"
"King","53033011102","3146","25.33","2"
"King","53033011200","3117","26.55","6"
"King","53033011300","4878","26.02","4"
"King","53033011401","3025","26.08","4"
"King","53033011402","3194","26.33","5"
"King","53033011500","3274","25.67","3"
"King","53033011600","5180","24.96","2"
"King","53033011700","4293","25.11","2"
"King","53033011800","5285","25.85","3"
"King","53033011900","5473","25.81","3"
"King","53033012000","2553","25.6","3"
"King","53033012100","2253","24.75","1"
"King","53033020100","2317","24.56","1"
"King","53033020200","4161","25.16","2"
"King","53033020300","4839","25.5","3"
"King","53033020401","2609","26.06","4"
"King","53033020402","4021","25.57","3"
"King","53033020500","4732","25.47","3"
"King","53033020600","2618","25.23","2"
"King","53033020700","2995","25.71","3"
"King","53033020800","3048","24.84","1"
"King","53033020900","2711","25.11","2"
"King","53033021000","4044","25.44","2"
"King","53033021100","3392","25.71","3"
"King","53033021300","2922","25.34","2"
"King","53033021400","2932","24.84","1"
"King","53033021500","3425","24.94","2"
"King","53033021600","3470","25.26","2"
"King","53033021700","5955","25.79","3"
"King","53033021802","3973","25.87","4"
"King","53033021803","3263","25.7","3"
"King","53033021804","3107","25.8","3"
"King","53033021903","3761","25.78","3"
"King","53033021904","3376","25.59","3"
"King","53033021905","3844","25.65","3"
"King","53033021906","3020","25.31","2"
"King","53033022001","3381","25.3","2"
"King","53033022003","3446","25.86","4"
"King","53033022005","3248","25.49","3"
"King","53033022006","2551","25.14","2"
"King","53033022101","3660","25.23","2"
"King","53033022102","4245","25.11","2"
"King","53033022201","3020","25.71","3"
"King","53033022202","5360","25.57","3"
"King","53033022203","3500","24.7","1"
"King","53033022300","1830","24.47","1"
"King","53033022400","5702","24.37","1"
"King","53033022500","5495","24.38","1"
"King","53033022603","3584","25.17","2"
"King","53033022604","2771","24.98","2"
"King","53033022605","4613","25.29","2"
"King","53033022606","4344","25.17","2"
"King","53033022701","1901","24.19","1"
"King","53033022702","2403","24.2","1"
"King","53033022703","1571","25.01","2"
"King","53033022801","6761","25.06","2"
"King","53033022802","3737","24.95","2"
"King","53033022803","3935","24.95","2"
"King","53033022901","2162","24.89","1"
"King","53033022902","4710","24.76","1"
"King","53033023000","3820","24.83","1"
"King","53033023100","2810","25.03","2"
"King","53033023201","4413","25.23","2"
"King","53033023202","3043","25.71","3"
"King","53033023300","4603","25.36","2"
"King","53033023401","2563","25.01","2"
"King","53033023403","3209","24.81","1"
"King","53033023404","2357","24.61","1"
"King","53033023500","2805","24.67","1"
"King","53033023601","2829","24.51","1"
"King","53033023603","4545","25.17","2"
"King","53033023604","4561","25.27","2"
"King","53033023700","3035","24.51","1"
"King","53033023801","1868","24.73","1"
"King","53033023803","3315","24.22","1"
"King","53033023804","4212","24.16","1"
"King","53033023900","5108","24.3","1"
"King","53033024000","5694","24.14","1"
"King","53033024100","3080","23.66","1"
"King","53033024200","1892","23.46","1"
"King","53033024300","5256","24.18","1"
"King","53033024400","2040","24.23","1"
"King","53033024500","3319","23.9","1"
"King","53033024601","3022","23.76","1"
"King","53033024602","2625","23.67","1"
"King","53033024701","2508","24.85","1"
"King","53033024702","5719","24.77","1"
"King","53033024800","3865","24.93","2"
"King","53033024901","3677","23.82","1"
"King","53033024902","2862","24.51","1"
"King","53033024903","4547","23.86","1"
"King","53033025001","3509","24.65","1"
"King","53033025003","5383","24.08","1"
"King","53033025005","3274","24.42","1"
"King","53033025006","3794","24.48","1"
"King","53033025101","4167","26.04","4"
"King","53033025102","5647","25.33","2"
"King","53033025200","6412","26.02","4"
"King","53033025301","3756","25.87","4"
"King","53033025302","3728","26.25","5"
"King","53033025400","5121","26.77","7"
"King","53033025500","3878","26.36","5"
"King","53033025601","3571","25.89","4"
"King","53033025602","4361","25.4","2"
"King","53033025701","4125","26.52","6"
"King","53033025702","2646","26.12","4"
"King","53033025803","3165","27.3","9"
"King","53033025804","2757","26.94","7"
"King","53033025805","3583","26.48","6"
"King","53033025806","3510","25.59","3"
"King","53033026001","4609","25.95","4"
"King","53033026002","5872","26.25","5"
"King","53033026100","5105","26.22","5"
"King","53033026200","4094","26.27","5"
"King","53033026300","1023","25.8","3"
"King","53033026400","4230","26.79","7"
"King","53033026500","2943","26.19","5"
"King","53033026600","1907","26.15","4"
"King","53033026700","3997","25.89","4"
"King","53033026801","4132","26.51","6"
"King","53033026802","3206","26.13","4"
"King","53033027000","2401","26.5","6"
"King","53033027100","2591","26.53","6"
"King","53033027200","1793","26.14","4"
"King","53033027300","4430","26.41","5"
"King","53033027400","3325","26.5","6"
"King","53033027500","3264","26.42","6"
"King","53033027600","3127","26.2","5"
"King","53033027701","4851","24.85","1"
"King","53033027702","3846","24.75","1"
"King","53033027800","2263","25.03","2"
"King","53033027900","5119","26.5","6"
"King","53033028000","2684","26.99","8"
"King","53033028100","1694","26.02","4"
"King","53033028200","3079","26.25","5"
"King","53033028300","3731","26.04","4"
"King","53033028402","3449","26.33","5"
"King","53033028403","3583","26.5","6"
"King","53033028500","2591","26.63","6"
"King","53033028600","4526","25.23","2"
"King","53033028700","3837","26.42","6"
"King","53033028801","2678","26.72","7"
"King","53033028802","4894","26.56","6"
"King","53033028901","2528","26.04","4"
"King","53033028902","4474","26.87","7"
"King","53033029001","3507","25.99","4"
"King","53033029003","4196","26.4","5"
"King","53033029004","2277","27.09","8"
"King","53033029101","2330","25.75","3"
"King","53033029102","3021","26.85","7"
"King","53033029203","2180","27.04","8"
"King","53033029204","4815","26.55","6"
"King","53033029205","3697","26.45","6"
"King","53033029206","2534","27.03","8"
"King","53033029303","5472","25.87","4"
"King","53033029304","3815","26.04","4"
"King","53033029305","2790","26.1","4"
"King","53033029306","2352","25.89","4"
"King","53033029307","2903","26.01","4"
"King","53033029403","3911","26.23","5"
"King","53033029405","3888","26.21","5"
"King","53033029406","3416","25.92","4"
"King","53033029407","2849","26.95","8"
