GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US48029141000,48029141000,"Census Tract 1410, Bexar County, Texas",3593,511,2664,569,60,50,27,42,0,13,0,13,667,351,175,144,86,88,89,111
1400000US48029141101,48029141101,"Census Tract 1411.01, Bexar County, Texas",4314,447,3176,507,497,185,0,13,13,20,0,13,503,279,125,84,26,29,99,81
1400000US48029141102,48029141102,"Census Tract 1411.02, Bexar County, Texas",3464,398,2333,352,258,155,122,150,0,13,0,13,475,344,276,201,177,182,99,112
1400000US48029141200,48029141200,"Census Tract 1412, Bexar County, Texas",6587,758,5161,774,488,302,0,18,0,18,0,18,841,535,97,87,59,76,38,38
1400000US48029141300,48029141300,"Census Tract 1413, Bexar County, Texas",5820,582,4239,532,654,234,71,95,7,11,0,18,704,295,145,108,122,104,23,26
1400000US48029141402,48029141402,"Census Tract 1414.02, Bexar County, Texas",3989,440,2444,540,202,124,45,41,38,60,0,13,1061,382,199,168,176,166,23,33
1400000US48029141403,48029141403,"Census Tract 1414.03, Bexar County, Texas",4055,420,2803,550,127,142,62,62,123,175,0,13,816,443,124,123,124,123,0,13
1400000US48029141404,48029141404,"Census Tract 1414.04, Bexar County, Texas",5207,513,3855,727,365,278,41,52,0,13,0,13,885,600,61,71,49,68,12,20
1400000US48029141600,48029141600,"Census Tract 1416, Bexar County, Texas",4970,284,3611,442,24,28,88,134,29,29,0,13,1030,425,188,154,51,50,137,144
1400000US48029141700,48029141700,"Census Tract 1417, Bexar County, Texas",5054,501,4052,450,48,39,75,103,9,16,0,18,736,364,134,82,76,66,58,56
1400000US48029141800,48029141800,"Census Tract 1418, Bexar County, Texas",4699,601,3210,597,46,57,7,12,7,9,0,13,1303,567,126,80,72,63,54,44
1400000US48029141900,48029141900,"Census Tract 1419, Bexar County, Texas",6252,995,5073,857,150,203,0,18,34,43,0,18,735,393,260,336,247,335,13,20
1400000US48029150100,48029150100,"Census Tract 1501, Bexar County, Texas",5424,628,3857,655,0,18,23,25,30,46,0,18,1401,476,113,87,54,56,59,70
1400000US48029150300,48029150300,"Census Tract 1503, Bexar County, Texas",4845,563,3263,525,62,59,74,100,0,13,0,13,1423,562,23,32,23,32,0,13
1400000US48029150400,48029150400,"Census Tract 1504, Bexar County, Texas",3595,467,2957,492,0,13,34,39,0,13,25,38,579,250,0,13,0,13,0,13
1400000US48029150501,48029150501,"Census Tract 1505.01, Bexar County, Texas",5071,423,4203,595,14,25,27,40,7,11,0,13,714,374,106,78,77,70,29,35
1400000US48029150502,48029150502,"Census Tract 1505.02, Bexar County, Texas",4231,524,3130,522,12,17,0,13,0,13,0,13,988,505,101,90,61,62,40,62
1400000US48029150600,48029150600,"Census Tract 1506, Bexar County, Texas",4702,496,3385,556,0,13,94,113,50,56,0,13,956,495,217,171,92,117,125,130
1400000US48029150700,48029150700,"Census Tract 1507, Bexar County, Texas",6093,707,4880,701,0,18,25,41,0,18,0,18,1082,572,106,97,31,50,75,87
1400000US48029150800,48029150800,"Census Tract 1508, Bexar County, Texas",3519,399,2519,471,266,139,198,223,0,13,0,13,475,229,61,48,23,37,38,47
1400000US48029150900,48029150900,"Census Tract 1509, Bexar County, Texas",5768,662,4074,605,26,27,37,39,0,18,0,18,1465,672,166,121,153,124,13,13
1400000US48029151000,48029151000,"Census Tract 1510, Bexar County, Texas",3282,380,2182,377,0,13,0,13,0,13,0,13,1078,375,22,34,0,13,22,34
1400000US48029151100,48029151100,"Census Tract 1511, Bexar County, Texas",7129,665,5813,757,21,27,60,88,15,45,0,18,1207,500,13,22,13,22,0,18
1400000US48029151200,48029151200,"Census Tract 1512, Bexar County, Texas",10394,1192,8266,1450,119,154,139,225,2,4,0,18,1672,797,196,235,44,73,152,165
1400000US48029151301,48029151301,"Census Tract 1513.01, Bexar County, Texas",5913,645,4933,692,33,54,111,191,0,18,0,18,791,309,45,48,12,18,33,53
1400000US48029151302,48029151302,"Census Tract 1513.02, Bexar County, Texas",3425,331,2398,402,38,41,7,12,0,13,0,13,819,462,163,145,156,144,7,10
1400000US48029151400,48029151400,"Census Tract 1514, Bexar County, Texas",4760,476,3699,456,43,68,0,13,17,24,0,13,922,393,79,71,44,46,35,56
1400000US48029151500,48029151500,"Census Tract 1515, Bexar County, Texas",2671,316,2310,350,4,10,0,13,4,6,0,13,281,166,72,45,39,30,33,43
1400000US48029151600,48029151600,"Census Tract 1516, Bexar County, Texas",7340,507,5236,665,59,61,618,474,1,3,25,38,1325,526,76,59,52,52,24,30
1400000US48029151700,48029151700,"Census Tract 1517, Bexar County, Texas",7090,750,5459,831,43,40,181,164,10,16,0,18,1297,441,100,99,28,31,72,92
1400000US48029151900,48029151900,"Census Tract 1519, Bexar County, Texas",6269,585,4322,729,40,40,211,230,91,109,0,18,1527,652,78,87,78,87,0,18
1400000US48029152000,48029152000,"Census Tract 1520, Bexar County, Texas",2309,344,1397,293,175,119,137,136,66,105,0,13,513,321,21,24,7,12,14,20
1400000US48029152100,48029152100,"Census Tract 1521, Bexar County, Texas",4897,630,3919,560,34,36,154,169,68,54,0,18,619,319,103,83,32,28,71,71
1400000US48029152201,48029152201,"Census Tract 1522.01, Bexar County, Texas",8255,908,6688,951,147,199,219,288,0,18,0,18,638,385,563,397,38,46,525,401
1400000US48029152202,48029152202,"Census Tract 1522.02, Bexar County, Texas",4581,869,3764,912,284,237,98,136,0,13,0,13,290,213,145,122,71,65,74,103
1400000US48029160100,48029160100,"Census Tract 1601, Bexar County, Texas",6615,772,5540,927,11,16,6,11,0,18,0,18,1015,495,43,44,35,48,8,13
1400000US48029160200,48029160200,"Census Tract 1602, Bexar County, Texas",2294,305,1674,268,0,13,94,145,55,83,0,13,463,227,8,12,8,12,0,13
1400000US48029160300,48029160300,"Census Tract 1603, Bexar County, Texas",5416,479,4373,485,0,18,35,49,61,63,0,18,932,418,15,21,6,12,9,16
